Date,Type,Name,Start,End,Duration
17/01/29,move,transport,2017-01-29T11:37:08+09:00,2017-01-29T11:53:40+09:00,992
17/01/29,place,Place in Chuo-ku,2017-01-29T11:53:41+09:00,2017-01-29T12:00:57+09:00,436
17/01/29,move,walking,2017-01-29T12:00:57+09:00,2017-01-29T12:09:05+09:00,488
17/01/29,move,walking,2017-01-29T12:09:06+09:00,2017-01-29T12:11:05+09:00,119
17/01/29,place,Place in Chuo-ku,2017-01-29T12:11:06+09:00,2017-01-29T12:14:06+09:00,180
17/01/29,move,walking,2017-01-29T12:14:06+09:00,2017-01-29T12:26:59+09:00,773
17/01/29,place,晴海　トリトンスクエア,2017-01-29T12:27:10+09:00,2017-01-29T15:30:14+09:00,10984
17/01/29,place,Place in Chuo-ku,2017-01-29T15:30:15+09:00,2017-01-29T15:53:31+09:00,1396
17/01/29,move,walking,2017-01-29T15:53:31+09:00,2017-01-29T16:06:49+09:00,798
17/01/29,place,Place in Chuo-ku,2017-01-29T16:06:50+09:00,2017-01-29T16:14:56+09:00,486
17/01/29,move,walking,2017-01-29T16:14:56+09:00,2017-01-29T16:25:22+09:00,626
17/01/29,move,transport,2017-01-29T16:25:23+09:00,2017-01-29T16:29:58+09:00,275
17/01/29,place,Place in Nerima,2017-01-29T16:29:58+09:00,2017-01-29T16:41:44+09:00,706
17/01/29,move,transport,2017-01-29T16:41:44+09:00,2017-01-29T17:04:56+09:00,1392
17/01/29,move,walking,2017-01-29T17:04:56+09:00,2017-01-29T17:26:14+09:00,1278
17/01/29,place,自宅,2017-01-29T17:26:15+09:00,2017-01-29T23:26:36+09:00,21621
17/01/29,move,walking,2017-01-29T23:26:36+09:00,2017-01-29T23:47:00+09:00,1224
17/01/29,place,Place in Yashio-shi,2017-01-29T23:52:42+09:00,2017-01-30T00:00:00+09:00,438
17/01/30,place,Place in Yashio-shi,2017-01-30T00:00:00+09:00,2017-01-30T00:07:08+09:00,428
17/01/30,place,Place in Yashio-shi,2017-01-30T00:07:09+09:00,2017-01-30T00:18:47+09:00,698
17/01/30,place,Place in Yashio-shi,2017-01-30T00:18:48+09:00,2017-01-30T08:07:39+09:00,28131
17/01/30,move,running,2017-01-30T08:07:39+09:00,2017-01-30T08:08:35+09:00,56
17/01/30,move,walking,2017-01-30T08:08:35+09:00,2017-01-30T08:22:15+09:00,820
17/01/30,move,transport,2017-01-30T08:22:15+09:00,2017-01-30T09:02:29+09:00,2414
17/01/30,place,"Place in Toyosu, Koto-ku",2017-01-30T09:02:29+09:00,2017-01-30T09:14:39+09:00,730
17/01/30,place,"Place in Toyosu, Koto-ku",2017-01-30T09:15:34+09:00,2017-01-30T09:41:59+09:00,1585
17/01/30,place,"Place in Toyosu, Koto-ku",2017-01-30T09:47:07+09:00,2017-01-30T10:18:01+09:00,1854
17/01/30,place,"Place in Toyosu, Koto-ku",2017-01-30T10:18:02+09:00,2017-01-30T11:04:31+09:00,2789
17/01/30,place,"Place in Toyosu, Koto-ku",2017-01-30T11:04:31+09:00,2017-01-30T12:35:05+09:00,5434
17/01/30,place,豊洲センタービルアネックス,2017-01-30T12:35:05+09:00,2017-01-30T19:05:11+09:00,23406
17/01/30,move,transport,2017-01-30T19:05:11+09:00,2017-01-30T19:07:20+09:00,129
17/01/30,move,walking,2017-01-30T19:07:21+09:00,2017-01-30T19:10:06+09:00,165
17/01/30,move,transport,2017-01-30T19:10:07+09:00,2017-01-30T19:48:24+09:00,2297
17/01/30,move,walking,2017-01-30T19:48:25+09:00,2017-01-30T20:02:03+09:00,818
17/01/30,place,Place in Yashio-shi,2017-01-30T20:02:04+09:00,2017-01-30T20:04:31+09:00,147
17/01/30,move,walking,2017-01-30T20:04:31+09:00,2017-01-30T20:13:10+09:00,519
17/01/30,place,Place in Yashio-shi,2017-01-30T20:13:11+09:00,2017-01-31T00:00:00+09:00,13609
17/01/31,place,Place in Yashio-shi,2017-01-31T00:00:00+09:00,2017-01-31T14:38:38+09:00,52718
17/01/31,move,walking,2017-01-31T14:38:38+09:00,2017-01-31T14:46:52+09:00,494
17/01/31,place,Place in Yashio-shi,2017-01-31T14:46:53+09:00,2017-01-31T14:50:28+09:00,215
17/01/31,move,walking,2017-01-31T14:50:28+09:00,2017-01-31T14:58:19+09:00,471
17/01/31,place,Place in Yashio-shi,2017-01-31T19:36:09+09:00,2017-02-01T00:00:00+09:00,15831
17/02/01,place,Place in Yashio-shi,2017-02-01T00:00:00+09:00,2017-02-01T18:07:06+09:00,65226
17/02/01,move,walking,2017-02-01T18:07:06+09:00,2017-02-01T18:28:56+09:00,1310
17/02/01,place,Place in Yashio-shi,2017-02-01T23:38:08+09:00,2017-02-02T00:00:00+09:00,1312
17/02/02,place,Place in Yashio-shi,2017-02-02T00:00:00+09:00,2017-02-02T23:38:08+09:00,85088
