Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
17/01/29,transport,transport,2017-01-29T11:37:08+09:00,2017-01-29T11:53:40+09:00,992,7.342,0,0
17/01/29,walking,walking,2017-01-29T11:54:38+09:00,2017-01-29T11:59:06+09:00,268,0.302,403,15
17/01/29,walking,walking,2017-01-29T12:00:00+09:00,2017-01-29T12:00:21+09:00,21,0.013,27,1
17/01/29,walking,walking,2017-01-29T12:00:57+09:00,2017-01-29T12:09:05+09:00,488,0.503,584,25
17/01/29,walking,walking,2017-01-29T12:09:06+09:00,2017-01-29T12:11:05+09:00,119,0.060,110,3
17/01/29,walking,walking,2017-01-29T12:11:06+09:00,2017-01-29T12:11:43+09:00,37,0.027,55,1
17/01/29,walking,walking,2017-01-29T12:14:06+09:00,2017-01-29T12:26:59+09:00,773,1.004,1196,50
17/01/29,walking,walking,2017-01-29T15:51:45+09:00,2017-01-29T15:52:18+09:00,33,0.025,50,1
17/01/29,walking,walking,2017-01-29T15:53:31+09:00,2017-01-29T16:06:49+09:00,798,1.276,1269,63
17/01/29,walking,walking,2017-01-29T16:14:56+09:00,2017-01-29T16:25:22+09:00,626,0.640,977,32
17/01/29,transport,transport,2017-01-29T16:25:23+09:00,2017-01-29T16:29:58+09:00,275,7.438,0,0
17/01/29,walking,walking,2017-01-29T16:29:58+09:00,2017-01-29T16:30:10+09:00,12,0.009,19,0
17/01/29,transport,transport,2017-01-29T16:41:44+09:00,2017-01-29T17:04:56+09:00,1392,25.341,0,0
17/01/29,walking,walking,2017-01-29T17:04:56+09:00,2017-01-29T17:26:14+09:00,1278,1.328,1795,66
17/01/29,walking,walking,2017-01-29T23:26:36+09:00,2017-01-29T23:47:00+09:00,1224,1.084,2036,54
17/01/30,walking,walking,2017-01-30T00:04:25+09:00,2017-01-30T00:04:45+09:00,20,0.015,30,1
17/01/30,walking,walking,2017-01-30T00:16:58+09:00,2017-01-30T00:17:24+09:00,26,0.020,40,1
17/01/30,walking,walking,2017-01-30T07:05:08+09:00,2017-01-30T07:05:27+09:00,19,0.015,30,1
17/01/30,running,running,2017-01-30T08:04:33+09:00,2017-01-30T08:05:03+09:00,30,0.058,82,4
17/01/30,running,running,2017-01-30T08:07:39+09:00,2017-01-30T08:08:35+09:00,56,0.196,170,12
17/01/30,walking,walking,2017-01-30T08:08:35+09:00,2017-01-30T08:22:15+09:00,820,1.206,1482,60
17/01/30,transport,transport,2017-01-30T08:22:15+09:00,2017-01-30T09:02:29+09:00,2414,26.583,0,0
17/01/30,walking,walking,2017-01-30T09:05:38+09:00,2017-01-30T09:09:31+09:00,233,0.262,349,13
17/01/30,walking,walking,2017-01-30T10:54:07+09:00,2017-01-30T10:54:40+09:00,33,0.025,50,1
17/01/30,walking,walking,2017-01-30T11:00:54+09:00,2017-01-30T11:01:57+09:00,63,0.040,80,2
17/01/30,walking,walking,2017-01-30T12:32:48+09:00,2017-01-30T12:33:54+09:00,66,0.050,100,2
17/01/30,walking,walking,2017-01-30T12:36:45+09:00,2017-01-30T12:43:37+09:00,412,0.464,618,23
17/01/30,walking,walking,2017-01-30T13:14:39+09:00,2017-01-30T13:15:08+09:00,29,0.014,17,1
17/01/30,walking,walking,2017-01-30T14:05:46+09:00,2017-01-30T14:06:15+09:00,29,0.025,50,1
17/01/30,walking,walking,2017-01-30T15:18:22+09:00,2017-01-30T15:20:58+09:00,156,0.172,229,9
17/01/30,walking,walking,2017-01-30T16:37:48+09:00,2017-01-30T16:38:17+09:00,29,0.025,50,1
17/01/30,walking,walking,2017-01-30T17:13:52+09:00,2017-01-30T17:15:35+09:00,103,0.085,170,4
17/01/30,walking,walking,2017-01-30T18:49:56+09:00,2017-01-30T18:50:55+09:00,59,0.040,80,2
17/01/30,walking,walking,2017-01-30T19:00:35+09:00,2017-01-30T19:01:48+09:00,73,0.057,115,3
17/01/30,transport,transport,2017-01-30T19:05:11+09:00,2017-01-30T19:07:20+09:00,129,1.582,0,0
17/01/30,walking,walking,2017-01-30T19:07:21+09:00,2017-01-30T19:10:06+09:00,165,0.195,291,10
17/01/30,transport,transport,2017-01-30T19:10:07+09:00,2017-01-30T19:48:24+09:00,2297,20.248,0,0
17/01/30,walking,walking,2017-01-30T19:48:25+09:00,2017-01-30T20:02:03+09:00,818,1.091,1171,54
17/01/30,walking,walking,2017-01-30T20:04:31+09:00,2017-01-30T20:13:10+09:00,519,0.551,717,27
17/01/31,walking,walking,2017-01-31T14:36:54+09:00,2017-01-31T14:38:37+09:00,103,0.090,180,4
17/01/31,walking,walking,2017-01-31T14:38:38+09:00,2017-01-31T14:46:52+09:00,494,0.544,696,27
17/01/31,walking,walking,2017-01-31T14:47:43+09:00,2017-01-31T14:48:09+09:00,26,0.020,40,1
17/01/31,walking,walking,2017-01-31T14:50:28+09:00,2017-01-31T14:58:19+09:00,471,0.798,711,40
17/02/01,walking,walking,2017-02-01T10:15:56+09:00,2017-02-01T10:16:15+09:00,19,0.015,30,1
17/02/01,walking,walking,2017-02-01T18:07:06+09:00,2017-02-01T18:28:56+09:00,1310,1.452,1906,72
17/02/02,walking,walking,2017-02-02T19:27:46+09:00,2017-02-02T19:27:59+09:00,13,0.010,20,0
